Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,600,500,0,C1.jos,1,,1,1
1,724,500,0,C1.lat,1,,,
1,724,500,0,C1.lat,1,,,
1,564,100,0,C1.leg1,1,1,,
1,564,100,0,C1.leg2,1,1,,
1,487,100,0,C1.ser.left,1,,1,1
1,502,100,0,C1.ser.front,1,,,
1,502,100,0,C1.ser.back,1,,,
1,487,100,0,C1.ser.right,1,,1,1
1,502,451,0,C1.ser.f,,,,
1,487,100,0,C1.ser.left,1,,1,1
1,502,100,0,C1.ser.front,1,,,
1,502,100,0,C1.ser.back,1,,,
1,487,100,0,C1.ser.right,1,,1,1
1,502,451,0,C1.ser.f,,,,
1,487,100,0,C1.ser.left,1,,1,1
1,502,100,0,C1.ser.front,1,,,
1,502,100,0,C1.ser.back,1,,,
1,487,100,0,C1.ser.right,1,,1,1
1,502,451,0,C1.ser.f,,,,
1,487,100,0,C1.ser.left,1,,1,1
1,502,100,0,C1.ser.front,1,,,
1,502,100,0,C1.ser.back,1,,,
1,487,100,0,C1.ser.right,1,,1,1
1,502,451,0,C1.ser.f,,,,
1,850,850,0,C2.jos,,,,
1,724,500,0,C2.lat1,1,,,
1,724,500,0,C2.lat2,1,,,
1,832,724,0,C2.spate,,,,
1,814,100,0,C2.leg,1,,,
1,814,100,0,C2.leg,1,,,
1,332,100,0,C2.leg,1,,,
1,724,200,0,C2.colt1,2,0,0,0
1,724,200,0,C2.colt2,0,0,0,0
1,600,500,0,C3.jos,1,,1,1
1,724,500,0,C3.lat,1,,,
1,724,500,0,C3.lat,1,,,
1,564,100,0,C3.leg1,1,1,,
1,564,100,0,C3.leg2,1,1,,
1,487,100,0,C3.ser.left,1,,1,1
1,502,100,0,C3.ser.front,1,,,
1,502,100,0,C3.ser.back,1,,,
1,487,100,0,C3.ser.right,1,,1,1
1,502,451,0,C3.ser.f,,,,
1,564,500,0,C3.sep.h,1,,,
1,1000,500,0,C5.jos,1,,1,1
1,724,500,0,C5.lat,1,,,
1,724,500,0,C5.lat,1,,,
1,964,100,0,C5.leg1,1,1,,
1,964,100,0,C5.leg2,1,1,,
1,964,100,0,C5.leg,1,,,
1,300,500,0,C6.jos,1,,1,1
1,724,500,0,C6.lat,1,,,
1,724,500,0,C6.lat,1,,,
1,264,100,0,C6.leg1,1,1,,
1,264,100,0,C6.leg2,1,1,,
1,780,400,0,S1.lat1,1,,1,1
1,564,399,0,S1.jos,1,,,
1,780,400,0,S1.lat2,1,,1,1
1,564,399,0,S1.sus,1,,,
1,564,380,0,S1.pol,2,,,
1,564,380,0,S1.pol,2,,,
1,780,400,0,S2.lat1,1,,1,1
1,264,399,0,S2.jos,1,,,
1,780,400,0,S2.lat2,1,,1,1
1,264,399,0,S2.sus,1,,,
1,264,380,0,S2.pol,2,,,
1,264,380,0,S2.pol,2,,,
1,564,682,0,S3.jos,,,,
1,564,682,0,S3.sus,,,,
1,564,682,0,S3.pol,,,,
1,564,682,0,S3.pol,,,,
1,780,682,0,S3.spate,,,,
1,780,400,0,S3.lat1,1,,1,1
1,780,400,0,S3.lat2,1,,1,1
1,744,250,0,S3.colt1,2,0,0,0
1,744,250,0,S3.colt1,0,0,0,0
1,780,400,0,S4.lat1,1,,1,1
1,176,399,0,S4.jos,1,,,
1,780,400,0,S4.lat2,1,,1,1
1,176,399,0,S4.sus,1,,,
1,176,380,0,S4.pol,2,,,
1,176,380,0,S4.pol,2,,,
1,176,380,0,S4.pol,2,,,
1,780,400,0,S5.lat1,1,,1,1
1,564,399,0,S5.jos,1,,,
1,780,400,0,S5.lat2,1,,1,1
1,564,399,0,S5.sus,1,,,
1,564,380,0,S5.pol,2,,,
1,564,380,0,S5.pol,2,,,
